"","Comp","Player","Pos","Age","Squad","xG_Expected","Mins_Per_90","shg.player","psg.player","dfg.player","drg.player","stm.player","kpr","tot.player"
"1","La Liga","Pedro Ortiz","MF","21-173","Sevilla",0.4,0.1,89,99,62,50,85,64,99
"2","Ligue 1","Pablo Sarabia","FW","29-273","Paris S-G",0.8,0.2,99,50,54,62,88,64,95
"3","Ligue 1","Ibrahima Koné","FW","22-237","Lorient",0.8,0.2,99,50,53,50,65,64,94
"4","Serie A","Matìas Soulé","FW","18-299","Juventus",0.1,0.1,74,78,50,74,66,64,93
"5","Premier League","Kaide Gordon","FW","17-126","Liverpool",0.4,0.1,89,50,85,50,89,64,93
"6","La Liga","Peter González","FW","19-198","Real Madrid",0.2,0.1,79,60,77,74,89,64,93
"7","Bundesliga","Mickaël Cuisance","MF","22-176","Bayern Munich",0,0.1,50,96,56,74,84,64,93
"8","Premier League","Divock Origi","FW","26-296","Liverpool",0.7,0.5,88,51,56,57,66,64,92
"9","Serie A","Fernando Forestieri","FW","32-024","Udinese",1,0.6,79,61,58,54,63,64,91
"10","Serie A","Luca Gemello","GK","21-220","Torino",0,1,50,51,50,50,55,99,91
"11","Premier League","Zack Steffen","GK","26-312","Manchester City",0,1,50,50,50,50,55,99,91
"12","La Liga","Hugo Duro","DF","22-090","Getafe",0.1,0.1,84,50,50,50,63,64,91
"13","Bundesliga","Stefanos Kapino","GK","27-327","Arminia",0,1,50,50,50,50,54,99,91
"14","Ligue 1","Eiji Kawashima","GK","38-325","Strasbourg",0,1,50,50,50,50,54,99,91
"15","Ligue 1","Julian Pollersbeck","GK","27-176","Lyon",0,1.2,50,51,50,50,54,98,91
"16","Ligue 1","Yannis M'Bemba","FW","20-222","Nantes",0.1,0.1,84,50,73,50,70,64,90
"17","Premier League","Morgan Gibbs-White","FW","22-012","Wolves",0.1,0.1,74,64,50,50,81,64,89
"18","Premier League","Trézéguet","FW","27-130","Aston Villa",0.1,0.1,65,71,50,74,61,64,89
"19","Bundesliga","Saulo Decarli","DF","30-004","Bochum",0,0.1,70,50,73,50,75,64,89
"20","Bundesliga","Tomáš Ostrák","MF","22-003","Köln",0,0.2,55,82,55,81,86,64,89
"21","Serie A","Alex Meret","GK","24-323","Napoli",0,4,50,50,50,50,53,92,88
"22","Serie A","Denso Kasius","DF","19-125","Bologna",0.1,0.2,67,55,73,50,67,64,88
"23","Serie A","Wladimiro Falcone","GK","26-302","Sampdoria",0,4.5,50,50,50,50,55,91,88
"24","Premier League","Kepa Arrizabalaga","GK","27-128","Chelsea",0,4,50,50,50,50,55,92,88
"25","Premier League","Neco Williams","DF","20-301","Liverpool",0,0.1,50,92,50,99,65,64,88
"26","La Liga","Jesús Owono","GK","20-344","Alavés",0,1,50,51,50,50,53,90,88
"27","La Liga","Sergio Rico","GK","28-160","Mallorca",0,1,50,50,50,50,52,91,88
"28","Bundesliga","Diant Ramaj","GK","20-142","Eint Frankfurt",0,1,50,51,50,50,56,90,88
"29","Bundesliga","Frederik Rønnow","GK","29-188","Union Berlin",0,1,50,50,50,50,56,91,88
"30","Bundesliga","Michael Esser","GK","34-078","Bochum",0,1,50,51,50,50,56,91,88
"31","Ligue 1","Marcin Bulka","GK","22-127","Nice",0,1,50,50,50,50,53,91,88
"32","Ligue 1","Sergio Rico","GK","28-160","Paris S-G",0,0.3,50,50,50,50,55,91,88
"33","Serie A","Ilija Nestorovski","FW","31-333","Udinese",0.2,0.1,70,57,58,50,85,64,87
"34","Serie A","Jacopo Dezi","MF","29-363","Venezia",0,0.2,55,78,56,62,77,64,87
"35","Premier League","Caoimhín Kelleher","GK","23-077","Liverpool",0,2,50,50,50,50,56,89,87
"36","Premier League","Takumi Minamino","FW","27-023","Liverpool",1.5,1,70,55,51,50,73,64,87
"37","La Liga","Antonio Sivera","GK","25-181","Alavés",0,2.1,50,51,50,50,55,89,87
"38","La Liga","Luis Hernández","DF","32-300","Cádiz",0.1,0.2,57,71,50,50,74,64,87
"39","Ligue 1","Cesc Fàbregas","MF","34-280","Monaco",0,0.4,50,81,52,50,74,64,87
"40","Ligue 1","Sambou Soumano","FW","21-036","Lorient",2.2,1.6,71,51,52,58,66,64,87
"41","Serie A","Boris Radunovic","GK","25-258","Cagliari",0,3,50,50,50,50,54,86,86
"42","Serie A","Luca Lezzerini","GK","26-321","Venezia",0,4.5,50,50,50,50,55,86,86
"43","Premier League","Alphonse Areola","GK","28-346","West Ham",0,1,50,50,50,50,55,87,86
"44","Premier League","Ashley Fletcher","FW","26-129","Watford",0.4,0.3,66,57,59,50,71,64,86
"45","Premier League","Fraser Forster","GK","33-328","Southampton",0,5,50,50,50,50,55,85,86
"46","Premier League","Jesse Lingard","FW","29-055","Manchester Utd",0.3,1.1,66,57,56,52,72,64,86
"47","La Liga","Aarón Escandell","GK","26-134","Granada",0,3.2,50,51,50,50,55,85,86
"48","La Liga","Giorgi Mamardashvili","GK","21-132","Valencia",0,7,50,50,50,50,54,85,86
"49","La Liga","Hugo Álvarez","FW","36-232","Celta Vigo",0.2,0.1,70,50,69,50,74,64,86
"50","La Liga","Julen Agirrezabala","GK","21-044","Athletic Club",0,4,50,50,50,50,53,87,86
"51","La Liga","Leonardo Román","GK","21-217","Mallorca",0,2,50,50,50,51,55,85,86
"52","La Liga","Mathew Ryan","GK","29-306","Real Sociedad",0,3,50,50,51,50,55,86,86
"53","La Liga","Neto","GK","32-204","Barcelona",0,2,50,50,50,50,57,85,86
"54","La Liga","Raúl Parra","DF","22-074","Cádiz",0,0.1,50,64,83,50,86,64,86
"55","La Liga","Yassine Bounou","GK","30-309","Sevilla",0,18,50,50,50,50,55,86,86
"56","Bundesliga","Eric Maxim Choupo-Moting","FW","32-322","Bayern Munich",1.5,1.7,69,53,52,61,65,64,86
"57","Bundesliga","Gonçalo Paciência","FW","27-191","Eint Frankfurt",2.4,1.8,66,57,54,53,64,64,86
"58","Bundesliga","Lennart Grill","GK","23-014","Leverkusen",0,1,50,50,50,50,56,86,86
"59","Bundesliga","Marwin Hitz","GK","34-143","Dortmund",0,1.5,50,50,50,50,55,85,86
"60","Bundesliga","Steffen Tigges","FW","23-192","Dortmund",1,1.2,70,53,56,52,73,64,86
"61","Ligue 1","Dogan Alemdar","GK","19-102","Rennes",0,4,50,50,50,50,53,86,86
"62","Ligue 1","Gianluigi Donnarumma","GK","22-348","Paris S-G",0,10,50,50,50,50,54,87,86
"63","Ligue 1","Marc-Aurèle Caillard","GK","27-272","Metz",0,5,50,50,50,50,54,86,86
"64","Ligue 1","Paul Bernardoni","GK","24-296","Angers",0,13,50,50,50,50,54,87,86
"65","Ligue 1","Paul Bernardoni","GK","24-296","Saint-Étienne",0,4,50,50,50,50,54,87,86
